类型,题干,A,B,C,D,正确答案,解析,来源,出现次数,首次记录
判断题,废弃刀片、锐器可以作为生活垃圾处理。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:20
判断题,废弃的放射源，必须报实验室与设备管理处，由实验室与设备管理处联系有资质的单位进行收贮，不得私自处理。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:16
判断题,废弃的利器(包括针头、小刀、金属和玻璃等)应直接弃置于耐扎容器内。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,废弃的利器（包括针头、小刀、金属和玻璃等）应直接弃置于耐扎容器内。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,废弃物禁止存放在非工作人员易接触到的地方。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,废弃物暂存间内的废弃物应集中存放。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:20
判断题,废弃物暂存区可临时存放其他物品。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:20
判断题,废液回收时，可装满废液桶,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:40
判断题,废液回收时，应装至距离桶口下沿约10cm处，标线处为止,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:40
判断题,废液回收时应遵循酸碱有机分类回收原则，另外，有特殊危险性的废液单独作为一类回收。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:40
判断题,废液桶完全装满后，密封并放置在指定地点暂存。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:20
判断题,分光光度计测定样品浓度时，可以用手触摸比色杯的任何表面。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:38
判断题,酚类化合物对细菌繁殖体和芽孢以及各种病毒均有杀灭活性的作用。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:35
判断题,酚灼伤皮肤时，应立即脱掉被污染衣物，用10%酒精反复擦拭，再用大量清水冲洗，直至无酚味为止，然后用饱和硫酸钠湿敷。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:15
判断题,粉碎操作最大的危险性在于可燃粉尘与空气形成爆炸性混合物，遇点火源发生粉尘爆炸事故。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:37
判断题,风速计为一较精密的仪器，严防碰撞振动，不可在含尘量过多或有腐蚀性的场所使用。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:38
判断题,风险分析：包括对风险发生的可能性和对潜在后果的估计，以确定风险级别。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:27
判断题,风险管理是指导和控制与风险相关问题的协调活动，是动态、循环并持续改进的。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:27
判断题,风险评估要求单位事先对所有拟开展的实验活动涉及的风险进行评估，如理化、辐射、设备存在的风险，而不是对水、电、气这类常规设施进行评估。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:27
判断题,风险评价：是将风险分析的结果与风险准则进行比较，或者在各种风险的分析结果之间比较，确定风险等级，以便做出风险应对的决策。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:27
判断题,风险识别：是发现、列举和描述风险要素的过程。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:27
判断题,福尔马林固定的含朊病毒组织，在长时间浸泡后则不具有感染性。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:35
判断题,辐射并不能引起一种特殊的“专有的”癌症，只是使人患癌症的可能性在原有本底水平上有所增高。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:16
判断题,辐射导致人体发生癌症是射线对人体最重要的危害之一，目前的主流观点认为，辐射致癌有剂量阈值，即较高的剂量照射才可能导致癌症发生。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:16
判断题,辐射的遗传效应：是指辐射导致生殖细胞（精细胞、卵细胞）突变，进而导致受照者的后代出现多种遗传性疾病。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:16
判断题,辐射防护的目的是：防止有害的确定性效应的发生，并限制随机性效应的发生几率，使之达到可以接受的水平。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:16
判断题,辐射工作场所的入口处可以不必放置辐射警示标志和工作信号。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:16
判断题,辐射工作人员的年剂量限值是20mSv。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:16
判断题,辐射工作人员离岗须到校辐射防护办公室办理相应手续，交回个人剂量计并做离岗体检，未办理离岗相关手续者自行承担相关责任。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:16
判断题,辐射工作人员在初次进入放射性操作岗位之前，必须接受入岗培训，若考核成绩合格可从事所有放射性工作岗位，不需要在工作岗位调换时重复进行安全培训。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:16
判断题,辐射工作人员在人岗培训或换岗培训之后的在岗工作期间，需要定期进行再次培训。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:16
判断题,辐射剂量只要控制在可接受的指导水平即可，不需要考虑是否达到最优化。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:16
判断题,辐射事故，是指放射源丢失、被盗、失控，或者放射性同位素和射线装置失控导致人员受到意外的异常照射。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:16
判断题,腐蚀和刺激性药品，如强酸、强碱、氨水、过氧化氢、冰醋酸等，取用时尽可能戴上橡皮手套和防护眼镜，倾倒时，切勿直对容器口俯视，吸取时，应该使用橡皮球。开启有毒气体容器时应戴防毒用具。禁止手直接拿取上述物品。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:28
判断题,腐蚀性物品包装严密、保证不泄漏后可与液化气体或其他物品共同存放。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:25
判断题,腐蚀性物质：指能灼伤人体组织并对金属等物品造成损坏的固体或液体。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,腐蚀性物质如浓硫酸、硝酸、氯磺酸、漂白粉等氧化性很强，与还原剂接触易发生强烈的氧化还原反应，容易引起火灾事故。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,负载处于工作状态时，可以插、拔、接电气线路。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:37
判断题,改建实验室时如果找不到原始建筑设计图，可自行改动室内管线布局。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:27
判断题,甘汞电极中的氯化钾溶液应无气泡和氯化钾晶体。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:21
判断题,感染剂量和病原体对环境影响因子的抵抗性对于确定空气传播风险都是特别重要的。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:35
判断题,感染性废弃物主要指科研、疾病预防控制、教学、生产和医疗救治活动中产生的各种含有病原体的废弃物质，包括废气、废水和固体废物。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,感染性物质不能使用移液管反复吹吸混合，为确保移液准确，应将移液管内最后一滴液体用力吹出。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:35
判断题,感染性组织标本进行冰冻切片时应当罩住冰冻机，操作者要戴安全防护面罩；清除污染时，仪器的温度要升至20℃。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:35
判断题,感染性组织标本应用冰冻切片，应当避免福尔马林固定。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:35
判断题,干粉灭火剂是扑救精密仪器火灾的最佳选择。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:32
判断题,干粉灭火器扑救可燃、易燃液体火灾时，应对准火焰根部扫射。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:32
判断题,干磨工件时，不准中途加切削液。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:37
判断题,干热灭菌是利用热的作用来杀菌，通常在干热灭菌器中进行；使用温度通常为160℃以上，时间为2～4h。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:35
判断题,干燥箱和恒温箱的使用温度不能超过最高允许温度。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:38
判断题,高等学校的危险化学品安全管理职责交给各实验室即可，不需建立校级领导机构。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:25
判断题,高放废物：是指这类放射性核素的活度浓度很高，在其衰变过程中产生大量的热或者含有大量长寿命核素，在对其处置设计中应该考虑这些问题，不然，就无法对其做到安全处置。对于它的处置，一定要采用深层地质处置，即将其深埋到地下数百米或更深的稳定地层中。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:16
判断题,高放废物在其衰变过程中会产生大量长寿命核素而不是大量的热量。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:16
判断题,高空作业人员的安全带必须低挂高用。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:30
判断题,高氯酸可与其他酸性化学品放在一起。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:25
判断题,高氯酸应远离其他氧化性化学品，远离酸性化学品存放。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,高速设备和精密设备应在管理人员指导下使用。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:38
判断题,高危险性微生物在低级别的生物安全防护实验室操作可造成生物性突发事件。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:15
判断题,高温设备在每次使用之前都应检查确认设备的线路安全。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:38
判断题,高温实验可接触水。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:21
判断题,高温下易腐败或易发生反应的废弃物应低温存放。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,高效液相色谱仪进样瓶内若用了内插管，应注意调节进样针的高度，避免将内插管扎破、进样针扎断。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:38
判断题,高校实验室发生安全事故的主要原因有：操作不慎、粗心大意、设施老化、缺少防护设施等。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:27
判断题,高校实验室发生安全事故的主要原因有未按安全规程操作、设备设施老化、监管不到位、自然灾害等。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:27
判断题,高校实验室科研教学活动中产生和排放的废气、废液、固体废物、噪声、放射性等污染物，应按环境保护行政主管部门的要求进行申报登记、收集、运输和处置。严禁把废气、废液、废渣和废弃化学品等污染物直接向外界排放。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,高压钢瓶可以没有固定设施，可以使用过期、未经检验和不合格的气瓶。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:30
判断题,高压钢瓶使用完毕后，应先关闭总阀再关闭减压阀。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:23
判断题,高压钢质氢气瓶外部涂色为绿色。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:23
判断题,高压灭菌锅待灭菌的物品放置不宜过紧，不能堆放或触碰内桶桶壁。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:30
判断题,高压灭菌锅灭菌时，待灭菌的物品可与含有腐蚀性抑制剂或化学试剂的物质放在一起灭菌。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:35
判断题,高压灭菌锅灭菌时，尽可能多地放置物品，以便更充分地利用灭菌空间。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:35
判断题,高压灭菌锅在灭菌前外桶底部加热部分必须有足够的水，水的高度至少要超过加热块或加热丝。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:30
判断题,高压灭菌锅在灭菌完毕后可放气减压。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:30
判断题,高压灭菌器、烤箱的压力表属于负压表，为安全起见，必须定期将表取下，送往专门的检定机构检测。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:30
判断题,高压灭菌器灭菌完毕后可立即放气减压、开盖。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:21
判断题,高压灭菌液体终止时，为尽快地取出灭菌液体，可快速排气使压力迅速降低。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:35
判断题,高压灭菌终止时，为尽快降低灭菌容器的压力和温度，可立即打开卸压阀快速排气。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:38
判断题,高压气瓶开阀宜缓，不必经减压阀放气。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:23
判断题,高压容器的质量要素主要包括承压能力、密封效果和泄压保障。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:30
判断题,高压容器应定期检查其安全性并记录检查结果。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:30
判断题,高压蒸汽灭菌器是通过高温高压水蒸气灭菌的。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:21
判断题,格式化过后的计算机，原来的数据就找不回来了。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:42
判断题,隔离环境中动物和物料的动态传递须经特殊的传递系统。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:35
判断题,隔离灭火法是将可燃物与引火源或氧气隔离开来，可防止火势继续扩大。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:32
判断题,隔离灭火法指将周围未燃烧的可燃物质移开或与正在燃烧的物质隔离，并中断可燃物质的供给，使燃烧因缺少可燃物而停止。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:32
判断题,隔离灭火法指将周围未燃烧的可燃物质移开或与正在燃烧的物质隔离，中断可燃物质的供给，使燃烧因缺少可燃物而停止。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:32
判断题,隔离衣为长袖背开式，穿着时应该保证颈部和腕部扎紧；当需要穿两件隔离衣时，里面一件采用后系带穿法，外面一件隔离衣采用前系带穿法。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:28
判断题,个人防护的措施之一是皮肤防护，主要依靠个人防护用品，防护用品可以避免有毒物质与人体皮肤的接触。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:28
判断题,个人剂量外照射监测；一般是测量个人在一段时间内或一次性操作过程所接受β、γ、X射线或中子流外照射的剂量，以及对特殊操作或事故处理等进行的个人剂量监测。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:16
判断题,个人可以现金先购买易制爆化学品，取得发票后再回单位报销。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:25
判断题,个人物品如钥匙、手机、手表、饰品等禁止带人II级及以上生物安全防护实验。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:35
判断题,个人信息保护影响评估报告应至少保存五年。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:42
判断题,个人信息处理者必须将个人信息存储在境内，不得向境外提供。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:42
判断题,个人信息处理者可以随意公开其处理的个人信息。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:42
判断题,个人信息处理者可以委托他人处理个人信息，无需告知个人。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:42
判断题,个人信息处理者可以无需取得个人同意，直接处理其公开的个人信息。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:42
判断题,个人信息处理者可以因个人撤回同意而拒绝提供产品或服务。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:42
判断题,个人有权要求删除其个人信息，但法律规定的保存期限未届满时除外。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:42
判断题,各单位均应制定一套整体的实验室突发事故预案，并加强管理。各实验室也应制定相应的预案，且要更有针对性。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:27
判断题,各实验室对所产生的化学废弃物必须要实行集中分类存放，贴好标签，然后送学校中转站，统一处置。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,各实验室应购买和使用取得许可生产并经特种设备检验机构按照安全技术规范的要求进行监督检验合格的特种设备，对使用的特种设备应当定期维护保养。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:30
判断题,各实验室在运送化学废弃物到各校区临时收集中转仓库之前，不得堆放在走廊、过道以及其它公共区域。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,各学院每季度组织有关人员对实验室进行安全与卫生管理的例行检查，记录检查情况，提出存在的问题并限时整改。每次检查结束后须将检查结果形成报告，上报实验室处。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:27
判断题,各院系要加强对剧毒、有害、特殊化学药品的管理，建立严格的领取、发放、登记和主管领导审批制度。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,各种电源是否有电，可用试电笔检验。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:37
判断题,各种气瓶的存放，必须远离明火、避免阳光直晒，搬运时不得碰撞。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:23
判断题,铬化合物中六价Cr毒性最大，有强刺激性，引起蛋白变性，干扰酶系统。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,铬化合物中Cr6+毒性很大，可引起蛋白变性，干扰酶系统。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,给液体加热时，可以先开始加热，等接近沸腾时再加入沸石。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:21
判断题,根据放射源对人体可能的伤害程度，可将放射源分为以下5类：（）I类放射源属极危险源、II类放射源属高危险源、III类放射源属中危险源、IV类放射源属低危险源、V类放射源属极低危险源。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:16
判断题,根据所操作的生物因子的危害程度和采取的防护措施，将生物安全的防护水平（biosafety level，BSL）分为四级，I级防护水平最低，IV级防护水平最高。以BSL-1、BSL-2、BSL-3、BSL-4表示仅从事体外操作的实验室的相应生物安全防护水平。以ABSL-1、ABSL-2、ABSL-3、ABSL-4表示包括从事动物活体操作的实验室的相应生物安全防护水平。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:35
判断题,根据重大事故发生的特点，应急处置的特点是；行动必须做到迅速、准确和有效。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:15
判断题,工作场所辐射监测中的外照射剂量监测主要是对β、γ、X射线的检测，不包括对中子射线的监测。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:16
判断题,工作人员在进入BSL-3实验室工作区前，应在专用的更衣室（或缓冲间）内穿着背开式工作服或其他防护服。工作完毕必须脱下工作服，不得穿工作服离开实验室。可再次使用的工作服必须先消毒后清洗。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:35
判断题,公安部门负责危险化学品的公共安全管理，负责发放剧毒化学品购买凭证和准购证，负责审查核发剧毒化学品公路运输通行证，对危险化学品道路运输安全实施监督，并负责前述事项的监督检查。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,供电线路中的零线可以视为地线接到设备外壳上。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:37
判断题,肱动脉压迫止血法适用于手、前臂及上臂下部的出血。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:15
判断题,汞、苯、铬酸盐和氰化物属于对人体具有极度危害的物质。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,汞及其化合物、砷及其无机化合物、黄磷、碘甲烷、甲基丙烯酸甲酯、氰化物等具有剧毒性。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,汞剂、苯胺类、硝基苯等可通过皮肤或粘膜吸收而使人中毒。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,汞剂、苯胺类、硝基苯等可通过皮肤接触或黏膜吸收而使人中毒。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,购买的气瓶需要报废的，直接进行废品回收即可。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:23
判断题,购买放射性核素必须向同位素实验室负责人申请，办理登记手续。购买、领取、使用、归还放射性同位素时应正确登记、认真检查，做到账物相符。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:16
判断题,购买或领用动物者可进入饲养室内购买或领取实验动物。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:35
判断题,购买易制毒化学品的单位，应当于每年3月31日前向许可或者备案的行政主管部门和公安机关报告本单位上年度易制毒化学品的购买情况。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,固体药品可选用广口瓶，液体药品可选用细口瓶存放。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,关键信息基础设施的安全保护措施可滞后于基础设施建设。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:42
判断题,关键信息基础设施的运营者采购网络产品和服务无需通过国家安全审查。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:42
判断题,关键信息基础设施的运营者可以将境内收集的重要数据直接存储在境外。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:42
判断题,关键信息基础设施的运营者应当每年至少进行一次网络安全检测和风险评估。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:42
判断题,关键信息基础设施的运营者应当每年至少进行一次网络安全检测评估。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:42
判断题,锅炉与压力容器的受压元件如果采用不合理的结构形状，局部地方会因应力集中或变形受到过分压束而产生很高的局部应力，严重时也会导致破坏。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:30
判断题,国家标准《安全用电》（GB3805-83）中规定，安全电压额定值分为42V、36V、24V三个等级。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:37
判断题,国家不鼓励数据交易市场的发展。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:42
判断题,国家对危险化学品的生产、储存实行统筹规划、合理布局。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,国家机关处理个人信息无需告知个人。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:42
判断题,国家机关可以随意公开其收集的所有政务数据。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:42
判断题,国务院工业和信息化主管部门以及国务院其他有关部门依据各自职责，负责危险化学品生产、储存的行业规划和布局。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,国务院环境保护行政主管部门应当会同国务院有关部门制定国家危险废物名录，规定统一的危险废物鉴别标准、鉴别方法和识别标志。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,过程中产生有害或刺激性气体的反应，应在通风柜内进行，同时加强个人防护，不得把头部伸进通风柜内。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:28
判断题,过期的、不知名的固体化学药品可自行处理。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:20
判断题,过期的、不知名的固体化学药品也要妥善保存，由学校统一处理。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,过期的危险化学药品应按危险废物处理。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,过期气体也可以用来使用，不影响实验。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:23
判断题,过氧化钠可以直接放进盛有硫酸的烧杯中反应。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:25
判断题,过氧化氢和过氧乙酸可以用于实验室工作台表面以及金属器械的消毒。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:28
判断题,过氧化物、高氯酸盐、叠氮铅、乙炔铜、三硝基甲苯等属于易爆物质，受震或受热可发生热爆炸。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,过氧化物、高氯酸盐、叠氮盐、乙炔盐、三硝基甲苯等易爆物质，受震或受热时可能发生爆炸。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,过氧化物和有机物可以倒入同一废液回收桶中储存。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:20
判断题,过氧化物与有机物废液不能混合存放。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,海恩法则及墨菲定理给了我们这样的启示：事故的出现都符合从隐患、萌芽到发生的发展规律，每一次重大事故的背后都有先兆，偶然事件、小概率事件都是问题积累到一定程度的质变，当偶然事件、小概率事件再次升级就会导致严重的安全事故发生。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:27
判断题,含低浓度石油、动植物性油脂的废液可用溶剂萃取法或吸附法进行预处理。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,含放射性物质操作的实验不得在普通教学实验室开展。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:16
判断题,含汞、铅、镉等重金属的实验室废液，可用Na2S或NaHS将重金属转变为难溶于水的金属硫化物，随后用Fe(OH)3共沉淀分离后收集。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,含汞废液可适当地稀释后排放。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:20
判断题,含碱性洗涤剂的水可以清洗掉水果蔬菜表面的农药。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:15
判断题,含硫酸、磺酸、羟基酸、聚磷酸等酸类废液与其他酸的废液不能混合存放。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,含砷废液可加入氧化钙，调节并控制pH为8，生成砷酸钙和亚砷酸钙沉淀。有Fe3+存在时可起共沉淀作用。也可将含砷废液pH调至10以上，加入硫化钠与砷反应生成难溶、低毒的硫化物沉淀。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,含有生物危险品的一次性塑料器皿要去污后才能丢弃。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,含重金属离子的废液，可加碱或加硫化钠把重金属离子变成难溶性的氢氧化物或硫化物沉淀下来，过滤分离后收集。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,含Cr6+或含还原性有毒物质的实验室废液，可通过氧化还原反应进行预处理。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:20
判断题,焊接操作点10米内，禁止堆放易燃和易爆物品。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:37
判断题,焊接场地应预留安全通道并保持畅通。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:37
判断题,焊接场地在10米内，禁止堆放易燃和易爆物质。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:37
判断题,焊接电阻片的电烙铁需要有接地装置。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:37
判断题,焊接时，必须穿戴好必要的防护用品，如工作服、手套、防护眼镜等。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:37
判断题,核磁超低温探头回暖时可以进行样品测试。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:16
判断题,核磁超低温系统所连接室外机的电压是220V。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:16
判断题,核磁磁体中有样品未取出时，可以放入其他样品。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:16
判断题,核衰变是原子核自发产生的变化，放射性衰变服从指数规律。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:16
判断题,恒温箱、电冰箱内存放互相抵触的物品以及燃点低的物质，应分开存放。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:32
判断题,衡量一种微生物致病性的标准是该微生物的毒力，而毒力的大小取决于微生物与宿主之间的关系。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:35
判断题,烘箱、微波炉、电磁炉、饮水加热器、灭菌锅等高热能电器设备的放置地点应远离易燃、易爆物品。同时，规范操作，避免饮水加热器、灭菌锅等无水干烧。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:38
判断题,烘箱（干燥箱）在加热时，门可以开启。,正确,错误,,,B,,接口直采,1,2026/9/18 12:50:38
判断题,红磷易被氧化，吸水生成偏磷酸，应存放在干燥器中。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:25
判断题,红外灯、紫外灯不得安装在木柜或纸箱中使用。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:38
判断题,呼吸道吸入是造成大部分实验室有毒物质侵入人体最主要途径。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:15
判断题,护送病人时，应取掉口中异物，采用平卧位，头部稍低，保持呼吸畅通。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:15
判断题,化学爆炸品的主要特点是:反应速度极快，放出大量的热，产生大量的气体，只有上述三者都同时具备的化学反应才能发生爆炸。,正确,错误,,,A,,接口直采,1,2026/9/18 12:50:32
